 24 0
0 9 16569
000 3 17940
00000x02014had 1 18314
00002 1 18436
0001 9 18558
000163 1 19789
0002 3 19916
00020 1 20306
00024 1 20427
0003 1 20549
0004 1 20681
0005 3 20802
0006 3 21166
00066 1 21537
00073 1 21659
0008 1 21781
0009 1 21902
001 6 22029
0010 1 22823
0012 1 22945
0013 1 23067
0014 1 23188
00163 1 23310
00178 1 23447
0018 1 23569
002 3 23691
0020 1 24071
00224 1 24193
0023 1 24314
0025 1 24436
0026 2 24558
00266 1 24802
002661 1 24929
0027 1 25051
003 5 25173
00362 1 25788
0037 3 25910
0039 1 26274
004 6 26396
0040 1 27173
0042 1 27295
0046 1 27417
00465 1 27538
0047 1 27665
005 12 27786
00518 1 29390
005x0201301 1 29511
006 4 29633
0060 1 30248
0067 1 30370
0068 1 30492
0069 1 30614
007 3 30736
00726 1 31151
0073 1 31272
0079 2 31394
008 4 31643
009 3 32149
0095 1 32514
01 4 32636
010 4 33140
0103 1 33627
011 5 33749
0118 1 34366
012 3 34488
0127 1 34851
0129 1 34973
014 1 35094
0140 1 35215
0142 1 35337
014x02013035 1 35459
015 1 35581
0154 1 35703
015x02013036 1 35825
016 1 35947
0163 1 36069
016x02013083 1 36191
017 2 36322
017x02013038 1 36566
018 1 36688
0187 1 36815
019 1 36937
0196 1 37063
02 3 37185
020 1 37558
0208 1 37680
021 1 37802
022 1 37924
023 2 38045
024 3 38304
025 2 38670
026 3 38912
0262 1 39282
0267 1 39404
027 3 39526
028 2 39891
029 2 40135
03 4 40379
032 1 40883
0328 1 41004
032x02013100 1 41126
034 5 41248
035 1 41856
0356 1 41978
036 3 42100
036x02013054 1 42483
036x02013089 1 42605
037 1 42727
038 1 42848
039 2 42970
04 6 43219
040 2 43982
041 1 44230
0410 1 44351
042 2 44473
044 1 44717
0445 1 44839
045 1 44961
046 2 45082
047 1 45330
048 1 45452
049 2 45579
05 8 45822
050 2 46832
052 3 47081
054 1 47446
055 2 47568
056 1 47812
057 2 47934
058 4 48177
059 1 48665
0597 1 48786
05x0201336 1 48908
06 5 49030
060 3 49643
06070916 1 50008
061 1 50130
063 3 50251
064 1 50615
065 3 50736
067 2 51102
068 2 51346
068x02013147 1 51594
069 1 51716
07 3 51838
070 1 52202
071 2 52324
072 2 52572
073 1 52816
07385 1 52937
073851 1 53064
074 2 53186
075 2 53434
076 3 53678
0761 1 54053
0767 1 54189
0769 1 54311
076x02013084 1 54447
077 2 54569
0775 1 54812
078 2 54934
07826 1 55191
079x02013094 1 55313
08 5 55435
080 4 56057
081 1 56558
082 3 56679
083 2 57051
084 2 57297
084x02013098 1 57565
085 2 57687
086 4 57944
087 2 58436
087006 1 58683
087x02013099 1 58804
088 1 58926
089 2 59067
09 6 59345
090 3 60093
091 5 60493
091x02013193 1 61145
092 1 61267
0924 1 61393
093 3 61515
0932 1 61879
0937 1 62001
094 2 62123
095 3 62376
096 3 62745
097 1 63113
098 3 63239
099 3 63607
0mg 1 63977
0x0201310 1 64098
0x0201312 1 64219
0x0201316 1 64340
0x0201327 1 64470
0x0201336 1 64592
0x0201347 1 64723
0x020136 1 64848
1 24 64975
10 24 68888
100 16 72674
1000 4 74939
10000 1 75433
100000 3 75553
1002 1 75916
100x000d7 1 76056
100x02013133 1 76177
101 6 76299
1014 2 77044
10156 1 77288
1016 1 77409
10161 1 77531
1018 1 77651
101x02013183 1 77773
102 4 77895
1020 1 78386
1025 1 78506
1029 1 78628
102x02013188 1 78750
103 3 78871
1031 1 79236
1035 1 79404
1036 1 79526
103x02013151 1 79648
104 1 79770
1043 1 79897
1047 1 80019
104x02013159 1 80141
105 3 80263
1057 1 80653
106 3 80775
1068x020131763 1 81161
106x02013697 1 81283
107 3 81405
10700 1 81789
108 2 81909
1083 1 82168
108x02013115 1 82289
108x02013323 1 82415
109 4 82537
1094 1 83031
10fold 1 83153
10th 1 83274
10x0201311 1 83401
10x0201313 1 83522
10x0201340 1 83643
10x0201388 1 83765
10year 2 83885
11 23 84132
110 2 87243
1100 1 87497
11000 1 87622
1101 1 87742
111 3 87864
1117x020131603 1 88234
112 6 88356
113 3 89094
1132 1 89466
113705 1 89588
114 5 89709
1141 1 90325
115 2 90447
1159x020131289 1 90691
116 4 90813
117 2 91301
118 3 91545
1181 1 91940
1182 1 92062
119 1 92184
119x02013457 1 92316
11hete 1 92438
11point 1 92558
11x0201314 1 92678
12 23 92800
120 7 95968
1200 3 96842
1201 1 97213
121 1 97335
122 2 97467
122065 1 97721
122079 1 97839
1222 1 97957
1224 1 98079
123 2 98201
1230 1 98448
123x02013159 1 98569
124 2 98691
1241 1 98935
125 6 99056
1250 1 99786
125311 1 99919
126 3 100037
126217 1 100416
